,M024x,M024y,M024z,M025x,M025y,M025z,M026x,M026y,M026z,M027x,M027y,M027z,M028x,M028y,M028z,M029x,M029y,M029z,M030x,M030y,M030z,Time
2.41667,120.42,-102.695,1111.27,130.99,-75.557,945.073,104.095,-79.0019,437.662,100.87,-196.286,24.7254,75.6997,-208.227,-7.86012,143.338,-51.7837,-23.7352,93.6304,41.426,-23.2394,0.99167
2.425,120.447,-103.53,1111.18,131.283,-75.9177,945.087,104.363,-78.9622,437.784,100.726,-196.361,24.6713,75.7395,-208.297,-7.83282,143.281,-51.7978,-23.7789,93.6514,41.4003,-23.3306,1
2.43333,120.707,-104.309,1111.07,131.345,-76.4561,945.081,104.326,-78.9885,437.716,100.878,-196.3,24.7262,75.7567,-208.308,-7.86781,143.323,-51.8366,-23.7781,93.6591,41.3653,-23.3016,1.00833
2.44167,120.791,-105.201,1110.86,131.605,-76.923,945.09,104.55,-78.9947,437.855,100.97,-196.27,24.7655,75.7037,-208.265,-7.78627,143.338,-51.8374,-23.7881,93.7423,41.4693,-23.3408,1.01667
2.45,120.874,-106.096,1110.79,131.809,-77.4342,945.061,104.743,-78.916,437.771,100.878,-196.31,24.7498,75.6052,-208.224,-7.93421,143.369,-51.7905,-23.7368,93.7328,41.427,-23.2211,1.025
2.45833,121.055,-106.967,1110.66,132.008,-78.0554,945.027,104.628,-79.0324,437.652,100.862,-196.336,24.7599,75.8171,-208.161,-7.72798,143.344,-51.8251,-23.7842,93.742,41.3448,-23.3164,1.03333
2.46667,121.204,-107.911,1110.54,131.964,-78.6937,945.184,104.71,-79.005,437.805,100.887,-196.357,24.8131,75.7125,-208.298,-7.85929,143.38,-51.8205,-23.7223,93.7565,41.3803,-23.2412,1.04167
2.475,121.229,-108.901,1110.39,132.153,-79.2739,945.24,104.785,-78.9459,437.753,100.879,-196.27,24.6963,75.6833,-208.231,-7.81214,143.336,-51.8348,-23.784,93.8112,41.3445,-23.313,1.05
2.48333,121.402,-109.802,1110.27,132.169,-79.9597,945.19,104.735,-79.0505,437.789,100.936,-196.332,24.7279,75.6614,-208.279,-7.85494,143.359,-51.8222,-23.7364,93.7983,41.4342,-23.228,1.05833
2.49167,121.523,-110.794,1110.15,132.129,-80.7249,945.199,104.901,-79.0311,437.927,100.883,-196.319,24.842,75.6552,-208.314,-7.87997,143.358,-51.8675,-23.7976,93.8293,41.386,-23.3203,1.06667
2.5,121.731,-111.777,1110,132.431,-81.2592,945.324,104.95,-79.0362,437.835,100.909,-196.313,24.7698,75.6206,-208.204,-7.87318,143.352,-51.9029,-23.8293,93.9047,41.4215,-23.3123,1.075
2.50833,121.733,-112.927,1109.89,132.203,-82.1593,945.24,104.831,-79.1835,437.811,101.049,-196.453,24.9087,75.6279,-208.262,-7.76094,143.369,-51.8522,-23.7929,93.8986,41.3879,-23.3443,1.08333
2.51667,121.839,-113.953,1109.66,132.138,-82.9072,945.355,104.716,-79.4238,437.791,100.841,-196.29,24.7448,75.6054,-208.162,-7.86459,143.406,-51.8095,-23.719,93.8403,41.4277,-23.2402,1.09167
2.525,122.033,-114.975,1109.47,132.209,-83.6145,945.365,104.927,-79.4771,437.88,100.802,-196.258,24.7034,75.5799,-208.161,-7.74276,143.401,-51.8432,-23.7751,93.8928,41.3904,-23.3252,1.1
2.53333,121.916,-116.058,1109.35,132.142,-84.6249,945.328,104.988,-79.5864,438.017,100.806,-196.256,24.7939,75.6146,-208.207,-7.8479,143.409,-51.8395,-23.7187,93.9175,41.4464,-23.2098,1.10833
2.54167,121.983,-117.047,1109.17,132.139,-85.2775,945.517,104.803,-79.9242,437.963,100.813,-196.282,24.7518,75.6081,-208.137,-7.80672,143.373,-51.8897,-23.806,93.9041,41.438,-23.2792,1.11667
2.55,122.152,-117.988,1108.99,132.03,-86.2678,945.638,104.524,-80.3615,437.942,100.818,-196.287,24.7619,75.6134,-208.168,-7.86698,143.391,-51.8305,-23.7714,93.9313,41.4134,-23.249,1.125
2.55833,122.14,-118.994,1108.83,131.958,-87.0587,945.686,104.735,-80.5306,438.128,100.826,-196.307,24.813,75.604,-208.146,-7.85547,143.322,-51.8933,-23.8031,93.9664,41.3504,-23.3267,1.13333
2.56667,122.256,-119.873,1108.75,131.875,-88.0015,945.728,104.294,-81.2858,437.942,100.615,-196.438,24.6157,75.6057,-208.19,-7.8637,143.322,-51.894,-23.7654,93.973,41.2957,-23.3676,1.14167
2.575,122.365,-120.795,1108.7,131.772,-88.9093,945.901,104.712,-81.2955,438.266,100.832,-196.368,24.7769,75.6128,-208.195,-7.80278,143.371,-51.9243,-23.7573,94.0314,41.3528,-23.2875,1.15
2.58333,122.322,-121.642,1108.63,131.572,-89.7556,945.903,104.347,-81.9154,438.275,100.907,-196.36,24.7618,75.6016,-208.201,-7.88438,143.427,-51.9096,-23.6984,94.0244,41.4226,-23.226,1.15833
2.59167,122.406,-122.361,1108.56,131.505,-90.8425,945.988,104.354,-82.2943,438.321,100.858,-196.41,24.783,75.509,-208.174,-7.89142,143.368,-51.915,-23.8469,94.0248,41.3298,-23.2691,1.16667
2.6,122.321,-123.117,1108.49,131.352,-91.8494,946.057,104.65,-82.618,438.487,100.831,-196.458,24.8386,75.7232,-208.126,-7.81202,143.378,-51.9239,-23.7524,94.0008,41.3293,-23.1636,1.175
2.60833,122.358,-123.817,1108.44,131.289,-92.8981,946.003,104.209,-83.3384,438.449,100.8,-196.488,24.7606,75.6552,-208.243,-7.87276,143.373,-51.9891,-23.8014,94.0712,41.2523,-23.3212,1.18333
2.61667,122.455,-124.403,1108.36,130.975,-93.8837,945.913,103.982,-83.9782,438.501,100.835,-196.438,24.6881,75.5944,-208.21,-7.92181,143.412,-51.9808,-23.7303,94.122,41.2474,-23.2065,1.19167
2.625,122.406,-125.055,1108.32,130.954,-94.9653,946.002,104.344,-84.3263,438.735,100.862,-196.588,24.7923,75.5968,-208.247,-7.93761,143.405,-52.0497,-23.7686,94.1561,41.1794,-23.3119,1.2
2.63333,122.473,-125.616,1108.24,130.831,-96.0523,945.97,104.185,-84.9842,438.801,100.841,-196.637,24.7967,75.6131,-208.346,-7.99197,143.453,-52.0551,-23.8057,94.2136,41.1505,-23.244,1.20833
2.64167,122.409,-126.248,1108.17,131.168,-96.7756,946.234,104.324,-85.5223,438.964,100.897,-196.734,24.8258,75.5786,-208.224,-7.94369,143.392,-52.1013,-23.8445,94.2362,41.0913,-23.245,1.21667
2.65,122.33,-126.961,1108.1,130.346,-98.2693,945.903,103.606,-86.4502,438.797,101.055,-196.931,24.8843,75.5882,-208.353,-7.95293,143.46,-52.0866,-23.7496,94.2503,41.1327,-23.1435,1.225
2.65833,122.497,-127.441,1107.95,130.039,-99.5832,945.867,103.429,-87.2734,438.92,100.88,-196.857,24.7748,75.5786,-208.212,-7.98875,143.557,-52.1272,-23.8186,94.2876,41.0351,-23.2977,1.23333
2.66667,122.541,-128.107,1107.81,129.941,-100.691,945.82,103.989,-87.5553,439.236,100.839,-196.873,24.7878,75.5169,-208.21,-8.0117,143.505,-52.1257,-23.7313,94.3742,41.0252,-23.1554,1.24167
2.675,122.559,-128.638,1107.75,129.737,-102.233,945.576,103.508,-88.4793,439.19,100.856,-196.956,24.7195,75.5759,-208.241,-8.02809,143.491,-52.1881,-23.7877,94.3393,40.9599,-23.2882,1.25
2.68333,122.724,-129.152,1107.6,129.663,-103.081,945.669,103.812,-88.9057,439.427,100.855,-197.033,24.7189,75.551,-208.284,-8.11684,143.542,-52.1884,-23.73,94.404,41.0053,-23.1326,1.25833
2.69167,122.716,-129.743,1107.43,129.453,-104.526,945.727,103.88,-89.5531,439.608,100.863,-197.098,24.8013,75.5792,-208.338,-8.15356,143.596,-52.2179,-23.8711,94.4867,40.8899,-23.2224,1.26667
2.7,122.9,-130.155,1107.21,129.231,-105.587,945.504,103.571,-90.3864,439.643,100.867,-197.224,24.7814,75.5602,-208.342,-8.15344,143.611,-52.2876,-23.8654,94.5562,40.8203,-23.2341,1.275
2.70833,122.859,-130.646,1106.99,129.103,-106.83,945.375,103.455,-91.121,439.78,100.708,-197.353,24.7358,75.5365,-208.323,-8.13359,143.67,-52.3497,-23.8489,94.6315,40.6815,-23.2602,1.28333
2.71667,122.974,-131.069,1106.78,128.955,-108.057,945.214,102.639,-92.3186,439.625,100.849,-197.408,24.7696,75.5498,-208.394,-8.21263,143.647,-52.3677,-23.7241,94.6411,40.7637,-23.1151,1.29167
2.725,123.025,-131.385,1106.49,128.7,-109.153,945.02,102.614,-93.0902,439.867,100.874,-197.496,24.7749,75.4976,-208.366,-8.20517,143.649,-52.4742,-23.8057,94.7252,40.7262,-23.2274,1.3
2.73333,122.924,-131.775,1106.19,128.54,-110.333,944.893,103.19,-93.2801,440.1,100.806,-197.563,24.8397,75.2729,-208.35,-8.34215,143.7,-52.399,-23.7343,94.7816,40.6752,-23.0569,1.30833
2.74167,122.95,-132.082,1105.87,128.285,-111.483,944.75,102.883,-94.2249,440.037,100.824,-197.717,24.8017,75.6253,-208.334,-8.1656,143.727,-52.3204,-23.8047,94.8232,40.4768,-23.1354,1.31667
2.75,123.063,-132.262,1105.54,128.166,-112.538,944.545,102.625,-94.919,440.184,100.846,-197.795,24.8147,75.4824,-208.52,-8.34203,143.759,-52.4223,-23.7532,94.9144,40.4984,-23.0598,1.325
2.75833,123.008,-132.567,1105.25,127.709,-113.55,944.201,102.657,-95.7031,440.426,100.858,-197.799,24.804,75.4703,-208.526,-8.33249,143.764,-52.4846,-23.8759,95.0109,40.2888,-23.1008,1.33333
2.76667,123.099,-132.736,1104.89,127.895,-114.624,944.255,102.275,-96.6444,440.292,100.933,-198.028,24.8011,75.4655,-208.579,-8.37833,143.851,-52.539,-23.8703,95.0973,40.2586,-23.1004,1.34167
2.775,123.022,-132.986,1104.62,127.78,-115.58,944.113,102.582,-97.245,440.654,100.929,-198.13,24.8563,75.469,-208.677,-8.43799,143.915,-52.5718,-23.8492,95.2385,40.1692,-23.0926,1.35
2.78333,122.979,-133.261,1104.31,128.404,-115.951,944.335,102.58,-98.0576,440.661,100.973,-198.282,24.7973,75.469,-208.682,-8.52293,143.894,-52.6558,-23.7913,95.4241,40.1256,-22.9524,1.35833
2.79167,123.08,-133.375,1103.98,127.36,-117.397,943.802,102.334,-99.0296,440.675,101.115,-198.521,24.9016,75.4857,-208.756,-8.45766,143.951,-52.7246,-23.8934,95.5042,39.992,-22.9937,1.36667
2.8,122.953,-133.661,1103.74,127.108,-118.29,943.676,102.465,-99.7577,440.84,100.997,-198.509,24.8433,75.4945,-208.728,-8.59624,144.029,-52.7454,-23.8308,95.5459,39.9814,-22.9267,1.375
2.80833,123.001,-133.863,1103.46,127.167,-118.986,943.592,102.268,-100.595,440.694,101.014,-198.614,24.747,75.4303,-208.656,-8.52936,144.059,-52.7588,-23.9258,95.4596,39.83,-23.0156,1.38333
2.81667,123.088,-133.978,1103.23,126.976,-120.14,943.243,102.364,-101.265,440.841,101.068,-198.711,24.7119,75.5532,-208.779,-8.65096,144.074,-52.7182,-23.7885,95.3045,39.8173,-22.9411,1.39167
2.825,123.051,-134.199,1103.03,127.078,-120.257,943.501,102.424,-101.964,441.026,101.155,-198.852,24.7697,75.5338,-208.801,-8.65263,144.069,-52.7301,-23.885,95.047,39.7696,-22.976,1.4
2.83333,123.181,-134.337,1102.81,126.936,-121.016,943.567,102.305,-102.667,440.947,101.212,-198.939,24.7269,75.5721,-208.825,-8.69125,144.213,-52.6641,-23.9255,94.8768,39.7627,-22.9291,1.40833
2.84167,123.083,-134.598,1102.65,126.874,-121.411,943.363,102.592,-103.057,441.203,101.298,-199.017,24.7849,75.6257,-208.804,-8.63552,144.231,-52.608,-23.9377,94.7386,39.8042,-22.9364,1.41667
2.85,123.204,-134.759,1102.46,126.762,-122.009,943.259,102.37,-103.767,440.984,101.226,-199.092,24.6654,75.6477,-208.819,-8.66419,144.28,-52.502,-23.8079,94.5915,39.8706,-22.8512,1.425
2.85833,123.322,-134.884,1102.34,126.671,-122.513,943.241,102.27,-104.19,441.012,101.411,-199.062,24.7053,75.6793,-208.797,-8.62461,144.395,-52.4498,-23.9736,94.5216,39.8911,-22.9461,1.43333
2.86667,123.203,-135.124,1102.17,126.54,-122.873,943.15,102.672,-104.416,441.401,101.543,-199.115,24.7617,75.7094,-208.837,-8.67546,144.47,-52.4517,-23.8551,94.4302,39.9845,-22.9622,1.44167
2.875,123.205,-135.268,1102.04,126.584,-123.386,943.172,102.458,-104.771,441.19,101.543,-199.218,24.7264,75.6028,-208.785,-8.74764,144.471,-52.4375,-23.9648,94.3195,39.8193,-22.9509,1.45
2.88333,123.3,-135.375,1101.9,126.424,-123.72,943.239,102.577,-105.034,441.223,101.591,-199.335,24.731,75.8467,-208.787,-8.62259,144.506,-52.4288,-23.8978,94.225,39.8664,-22.8226,1.45833
2.89167,123.217,-135.53,1101.75,126.554,-124.047,943.134,102.781,-105.147,441.463,101.582,-199.343,24.7862,75.7912,-208.916,-8.71235,144.518,-52.4111,-23.9995,94.1716,39.8129,-22.8717,1.46667
2.9,123.406,-135.514,1101.6,126.227,-124.177,942.805,102.503,-105.464,441.243,101.602,-199.283,24.6915,75.7829,-208.88,-8.67915,144.56,-52.3904,-23.9923,94.1568,39.7679,-22.8645,1.475
2.90833,123.376,-135.614,1101.46,126.604,-124.407,942.949,102.779,-105.462,441.366,101.616,-199.357,24.7765,75.7722,-208.834,-8.59702,144.575,-52.3583,-24.0182,94.0708,39.8656,-22.9352,1.48333
2.91667,123.459,-135.592,1101.32,126.622,-124.529,942.933,102.283,-105.844,441.22,101.623,-199.368,24.7642,75.7406,-208.933,-8.65447,144.648,-52.2818,-23.9291,93.9859,40.0043,-22.8582,1.49167
2.925,123.533,-135.55,1101.22,127.513,-123.97,943.294,102.7,-105.739,441.393,101.692,-199.381,24.7385,75.7609,-208.809,-8.57693,144.549,-52.2456,-24.0218,93.9692,40.025,-22.9225,1.5
2.93333,123.524,-135.594,1101.13,126.542,-124.618,942.816,102.688,-105.725,441.465,101.803,-199.442,24.8888,75.7554,-208.914,-8.54164,144.686,-52.1814,-23.9182,93.894,40.1491,-22.8092,1.50833
2.94167,123.587,-135.541,1101.03,126.38,-124.685,942.791,102.546,-105.804,441.348,101.699,-199.3,24.7763,75.8052,-208.78,-8.53741,144.755,-52.0813,-24.0402,93.8364,40.1462,-22.8908,1.51667
2.95,123.724,-135.44,1101.01,126.499,-124.569,942.82,102.362,-105.905,441.286,101.709,-199.24,24.7736,75.7303,-208.735,-8.48448,144.673,-52.0625,-24,93.818,40.2514,-22.7765,1.525
2.95833,123.742,-135.435,1101,126.535,-125.029,942.651,102.586,-105.759,441.466,101.719,-199.195,24.8008,75.8179,-208.788,-8.50099,144.652,-51.9862,-24.0129,93.7129,40.1657,-22.9539,1.53333
2.96667,123.83,-135.354,1101.01,126.707,-124.35,942.977,102.609,-105.657,441.446,101.756,-199.158,24.7814,75.8208,-208.779,-8.48502,144.674,-51.9699,-24.002,93.7477,40.2085,-22.9456,1.54167
2.975,123.837,-135.378,1101.04,126.782,-124.455,943.215,102.58,-105.686,441.48,101.774,-199.124,24.7877,75.8581,-208.734,-8.4418,144.654,-51.9586,-24.0096,93.7387,40.2675,-22.9291,1.55
2.98333,123.939,-135.316,1101.1,126.866,-124.067,943.088,102.502,-105.692,441.326,101.791,-199.1,24.7486,75.8089,-208.74,-8.4728,144.696,-51.9425,-23.9785,93.7268,40.3496,-22.8097,1.55833
2.99167,124.061,-135.176,1101.11,126.932,-123.879,943.071,102.514,-105.739,441.283,101.684,-199.169,24.6711,75.8717,-208.717,-8.42309,144.624,-51.8964,-24.0136,93.73,40.2606,-22.9244,1.56667
3,124.128,-135.143,1101.18,127.049,-123.728,943.054,102.809,-105.521,441.475,101.812,-199.053,24.7788,75.8376,-208.671,-8.49557,144.671,-51.9236,-24.0215,93.7062,40.3855,-22.8503,1.575
3.00833,124.246,-134.949,1101.23,127.072,-123.454,942.959,102.565,-105.712,441.335,101.887,-198.992,24.7279,75.8744,-208.704,-8.38524,144.658,-51.949,-24.0537,93.7687,40.523,-22.9952,1.58333
3.01667,124.395,-134.724,1101.27,127.261,-123.358,943.058,102.645,-105.57,441.221,101.854,-198.982,24.7178,75.7474,-208.66,-8.55136,144.63,-51.8899,-24.0266,93.7387,40.4608,-22.8499,1.59167
3.025,124.339,-134.611,1101.33,127.226,-123.126,943.161,102.938,-105.391,441.372,101.818,-198.946,24.7479,75.9686,-208.583,-8.4027,144.593,-51.9085,-24.0651,93.761,40.4863,-22.966,1.6
3.03333,124.486,-134.357,1101.37,127.485,-122.949,943.047,102.85,-105.375,441.252,101.816,-198.94,24.7039,75.9063,-208.689,-8.50093,144.59,-51.8937,-24.0374,93.7123,40.3854,-22.9263,1.60833
3.04167,124.464,-134.163,1101.46,127.324,-122.637,942.822,103.092,-105.207,441.425,101.827,-198.814,24.693,75.9162,-208.656,-8.39013,144.558,-51.877,-24.0495,93.7384,40.3425,-22.904,1.61667
3.05,124.554,-133.95,1101.53,127.813,-122.54,943.083,102.957,-105.256,441.221,101.926,-198.812,24.6761,75.9096,-208.718,-8.39192,144.637,-51.8449,-24.0205,93.6954,40.5436,-22.8108,1.625
3.05833,124.645,-133.764,1101.62,127.933,-122.351,943.162,102.585,-105.388,441.149,101.96,-198.817,24.6987,75.896,-208.731,-8.38435,144.568,-51.8403,-24.0794,93.7198,40.4447,-22.9271,1.63333
3.06667,124.663,-133.612,1101.73,128.818,-121.617,943.52,103.228,-105.072,441.412,101.945,-198.815,24.7292,75.9418,-208.717,-8.37284,144.625,-51.8386,-24.024,93.7429,40.5334,-22.8483,1.64167
3.075,124.661,-133.534,1101.84,128.115,-121.988,943.18,102.986,-105.085,441.153,102.113,-198.933,24.7759,75.9193,-208.69,-8.34185,144.595,-51.8429,-24.0589,93.7547,40.4671,-22.928,1.65
3.08333,124.869,-133.372,1101.91,128.098,-121.919,943.149,103.174,-105.026,441.177,101.917,-198.766,24.6481,75.9466,-208.683,-8.38059,144.625,-51.8214,-24.0017,93.7457,40.6017,-22.818,1.65833
3.09167,124.88,-133.339,1102,128.299,-121.728,943.213,103.62,-104.71,441.393,101.884,-198.725,24.7128,75.8805,-208.631,-8.35168,144.504,-51.881,-24.0138,93.8154,40.5161,-22.8996,1.66667
3.1,125.068,-133.29,1102.05,128.369,-121.947,943.041,103.435,-104.755,441.199,101.879,-198.712,24.6458,75.9394,-208.634,-8.43394,144.537,-51.8491,-24.0461,93.7569,40.4715,-22.9538,1.675
3.10833,125.1,-133.288,1102.12,128.583,-121.42,943.271,103.602,-104.616,441.305,101.923,-198.715,24.6906,75.9399,-208.629,-8.35943,144.554,-51.86,-24.0795,93.8258,40.4959,-22.9444,1.68333
3.11667,125.205,-133.273,1102.16,128.677,-121.439,943.392,103.401,-104.686,441.006,101.9,-198.725,24.6496,75.9278,-208.628,-8.4489,144.544,-51.8713,-24.0364,93.8255,40.5235,-22.8355,1.69167
3.125,125.37,-133.183,1102.18,128.876,-121.137,943.277,103.487,-104.595,441.013,101.908,-198.717,24.6121,75.9418,-208.616,-8.38554,144.545,-51.9002,-24.0387,93.8908,40.4924,-22.943,1.7
3.13333,125.338,-133.197,1102.21,128.991,-121.045,943.181,103.807,-104.392,441.247,101.754,-198.787,24.5882,75.9294,-208.636,-8.45724,144.453,-51.8766,-23.9864,93.9103,40.5266,-22.8804,1.70833
3.14167,125.411,-133.135,1102.22,129.07,-120.993,943.176,103.68,-104.367,441.057,101.882,-198.673,24.6099,75.9191,-208.607,-8.40521,144.476,-51.9408,-24.0577,93.965,40.5362,-22.9214,1.71667
3.15,125.57,-133.021,1102.21,129.137,-120.777,943.08,103.693,-104.401,441.05,101.94,-198.614,24.598,75.9357,-208.646,-8.45003,144.534,-51.9665,-24.0196,94.0191,40.6963,-22.9266,1.725
3.15833,125.625,-132.968,1102.22,129.346,-120.764,943.17,103.945,-104.134,441.21,101.928,-198.637,24.662,75.7974,-208.611,-8.54111,144.452,-51.975,-24.0648,94.0368,40.4495,-22.984,1.73333
3.16667,125.723,-132.894,1102.25,129.313,-120.612,943.26,103.642,-104.303,440.865,101.876,-198.621,24.5929,76.0691,-208.552,-8.42297,144.468,-52.0003,-24.0589,94.0653,40.4275,-22.9872,1.74167
3.175,125.725,-132.872,1102.25,129.568,-120.524,943.165,103.987,-104.016,441.118,101.888,-198.674,24.6178,75.9848,-208.693,-8.47578,144.449,-52.0302,-24.0394,94.119,40.4095,-22.9655,1.75
3.18333,125.814,-132.855,1102.29,129.494,-120.307,943.014,103.959,-103.953,440.983,101.894,-198.565,24.4635,75.9735,-208.703,-8.51917,144.406,-52.0222,-23.9778,94.175,40.4394,-22.8273,1.75833
3.19167,125.936,-132.732,1102.31,129.879,-120.226,943.129,104.021,-103.899,440.917,101.93,-198.659,24.5391,75.9428,-208.691,-8.49956,144.405,-52.0974,-24.0523,94.1994,40.319,-22.9173,1.76667
3.2,125.924,-132.737,1102.31,130.019,-120.123,943.19,104.12,-103.696,441.105,101.924,-198.71,24.6198,75.9026,-208.764,-8.60476,144.441,-52.1061,-24.0177,94.2488,40.3987,-22.8388,1.775
3.20833,125.997,-132.593,1102.36,130.644,-119.587,943.418,104.386,-103.441,441.001,101.926,-198.684,24.5378,75.9347,-208.694,-8.50069,144.375,-52.1635,-24.0758,94.3146,40.2686,-22.9748,1.78333
3.21667,126.051,-132.553,1102.4,130.141,-119.885,943.074,103.835,-103.525,440.616,102.088,-198.832,24.6738,75.8915,-208.728,-8.55547,144.404,-52.1802,-24.0091,94.3088,40.3255,-22.8996,1.79167
3.225,126.127,-132.44,1102.42,130.276,-119.697,943.042,104.241,-103.274,440.953,101.906,-198.677,24.609,75.9108,-208.702,-8.58301,144.356,-52.1666,-24.053,94.2975,40.2846,-22.944,1.8
3.23333,126.22,-132.363,1102.46,130.434,-119.511,943.124,104.353,-102.976,440.838,101.883,-198.676,24.5485,75.8294,-208.665,-8.5625,144.389,-52.1718,-24.0393,94.3667,40.2519,-22.8901,1.80833
3.24167,126.214,-132.332,1102.52,130.426,-119.731,942.952,104.411,-102.769,440.978,101.866,-198.664,24.6315,75.9171,-208.721,-8.53908,144.378,-52.2416,-24.0236,94.2224,40.1829,-22.9402,1.81667
3.25,126.279,-132.272,1102.58,130.713,-119.017,943.159,104.362,-102.507,440.883,101.843,-198.672,24.5932,75.8857,-208.748,-8.56686,144.379,-52.2006,-23.9797,94.2606,40.3332,-22.8087,1.825
3.25833,126.469,-132.17,1102.64,130.828,-118.928,943.317,104.291,-102.267,440.739,101.808,-198.656,24.6012,75.8773,-208.713,-8.51625,144.359,-52.1972,-24.0658,94.2714,40.2316,-22.894,1.83333
3.26667,126.476,-132.156,1102.73,130.88,-118.554,943.26,104.559,-101.818,440.883,101.813,-198.636,24.6596,75.8298,-208.689,-8.59696,144.38,-52.2342,-23.9565,94.2366,40.2563,-22.8519,1.84167
3.275,126.566,-132.084,1102.83,130.987,-118.291,943.217,104.273,-101.819,440.561,101.598,-198.708,24.4908,75.8145,-208.696,-8.51309,144.281,-52.1843,-24.0055,94.2366,40.1813,-22.9484,1.85
3.28333,126.707,-131.992,1102.91,131.19,-117.994,943.216,104.297,-101.309,440.674,101.761,-198.589,24.6067,75.7967,-208.709,-8.54319,144.305,-52.22,-23.9457,94.1644,40.2954,-22.8482,1.85833
3.29167,126.793,-131.919,1103.02,131.276,-117.543,943.237,104.619,-100.891,440.914,101.788,-198.537,24.7012,75.7807,-208.725,-8.53592,144.326,-52.2112,-23.9972,94.1925,40.3516,-22.9592,1.86667
3.3,126.983,-131.746,1103.09,131.517,-117.169,943.289,104.368,-100.578,440.601,101.717,-198.49,24.657,75.6039,-208.643,-8.65239,144.26,-52.1982,-24.0177,94.1772,40.2772,-22.903,1.875
3.30833,127.082,-131.601,1103.19,131.493,-116.786,943.397,104.637,-100.101,440.698,101.725,-198.462,24.7125,75.9546,-208.542,-8.4011,144.261,-52.1864,-24.0044,94.1533,40.2347,-22.9003,1.88333
3.31667,127.157,-131.395,1103.23,131.805,-116.27,943.316,104.334,-99.904,440.336,101.707,-198.452,24.6325,75.762,-208.675,-8.5817,144.234,-52.1791,-23.9059,94.1615,40.3378,-22.8131,1.89167
3.325,127.251,-131.155,1103.32,131.709,-115.753,943.192,104.562,-99.3583,440.445,101.71,-198.29,24.5506,75.7611,-208.68,-8.47864,144.227,-52.1895,-23.9762,94.1998,40.2005,-22.8545,1.9
3.33333,127.36,-130.868,1103.39,132.036,-115.328,943.404,105.002,-98.881,440.572,101.76,-198.348,24.6452,75.756,-208.717,-8.54087,144.153,-52.196,-23.8965,94.1638,40.3553,-22.7828,1.90833
3.34167,127.512,-130.514,1103.48,132.15,-114.792,943.394,104.728,-98.6609,440.515,101.811,-198.375,24.6131,75.7749,-208.762,-8.56096,144.203,-52.2135,-23.9724,94.1471,40.2527,-22.8797,1.91667
3.35,127.645,-130.181,1103.52,132.688,-113.871,943.627,104.891,-98.2738,440.466,101.769,-198.296,24.6117,75.7701,-208.71,-8.53801,144.189,-52.2129,-23.9055,94.1403,40.356,-22.7803,1.925
3.35833,127.722,-129.807,1103.62,132.363,-113.604,943.446,104.832,-97.923,440.392,101.891,-198.394,24.7959,75.7463,-208.798,-8.47763,144.179,-52.1849,-23.9822,94.1511,40.2664,-22.8898,1.93333
3.36667,127.908,-129.426,1103.7,132.5,-112.984,943.37,104.857,-97.5356,440.174,101.658,-198.229,24.6475,75.756,-208.677,-8.52239,144.147,-52.1947,-23.9665,94.1533,40.2442,-22.8992,1.94167
3.375,128.071,-129,1103.81,132.431,-112.484,943.414,105.035,-97.0948,440.347,101.641,-198.181,24.6578,75.6878,-208.611,-8.46463,144.135,-52.1919,-23.9459,94.2513,40.2313,-22.8326,1.95
3.38333,128.154,-128.622,1103.88,133.16,-111.502,943.652,105.01,-96.716,440.196,101.648,-198.145,24.6075,75.7228,-208.69,-8.56608,144.076,-52.1956,-23.8374,94.1024,40.3372,-22.7695,1.95833
3.39167,128.32,-128.144,1103.95,133.441,-110.669,943.691,105.058,-96.2569,440.069,101.626,-198.104,24.6111,75.7521,-208.658,-8.5082,144.072,-52.1998,-23.9786,94.1438,40.2896,-22.8713,1.96667
3.4,128.491,-127.723,1104.08,133.382,-110.284,943.725,105.482,-95.5301,440.191,101.65,-198.061,24.689,75.709,-208.67,-8.53878,144.052,-52.1848,-23.8565,94.0913,40.377,-22.7716,1.975
3.40833,128.619,-127.244,1104.19,133.666,-109.384,943.595,105.054,-95.3579,439.977,101.621,-197.995,24.6395,75.7299,-208.621,-8.46618,144.041,-52.1554,-23.9639,94.154,40.3132,-22.9169,1.98333
3.41667,128.791,-126.77,1104.28,133.774,-108.693,943.598,104.808,-95.2169,439.753,101.418,-198.007,24.5287,75.6797,-208.568,-8.5426,143.993,-52.1344,-23.8507,94.1218,40.3939,-22.851,1.99167
3.425,128.897,-126.289,1104.39,133.904,-108.086,943.599,105.338,-94.2027,439.945,101.578,-197.844,24.6577,75.7056,-208.605,-8.49849,143.984,-52.1208,-23.9476,94.1362,40.4754,-22.8879,2
3.43333,129.143,-125.74,1104.51,133.878,-107.463,943.539,104.931,-94.0362,439.842,101.524,-197.789,24.6441,75.6733,-208.558,-8.51238,143.97,-52.1365,-23.9576,94.1796,40.5691,-22.9791,2.00833
3.44167,129.273,-125.244,1104.66,134.093,-106.84,943.62,105.537,-93.1233,439.882,101.582,-197.721,24.6522,75.591,-208.551,-8.50117,143.999,-52.1129,-23.9063,94.1524,40.5144,-22.9099,2.01667
3.45,129.488,-124.71,1104.78,134.036,-106.272,943.613,105.442,-92.7604,439.669,101.581,-197.673,24.6223,75.8193,-208.39,-8.37976,143.96,-52.1302,-23.7959,94.1039,40.6135,-22.7904,2.025
